NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
WorldChunkManager,ro,su,lg,nc,*
WorldChunkManagerHell,fb,fl,hv,dv,*
WorldClient,ix,jr,*,*,World on the client for multiplayer
WorldGenBigTree,fx,gk,iy,eo,Grows big trees
WorldGenCactus,ee,em,gr,df,*
WorldGenClay,jc,jw,l,gv,*
WorldGenDungeons,dc,dj,fd,ch,Generates dungeons
WorldGenerator,kz,lv,cb,ia,Base class for world generators
WorldGenFire,rl,sr,ld,mz,*
WorldGenFlowers,ap,ap,bk,af,Generates flowers and mushrooms
WorldGenForest,f,f,o,e,*
WorldGenHellLava,lp,ml,cn,ii,*
WorldGenLakes,cf,cj,ds,bo,*
WorldGenLightStone1,ek,es,gz,di,*
WorldGenLightStone2,nd,oe,et,jq,*
WorldGenLiquids,rh,sn,kz,mv,Generate water and lava
WorldGenMinable,du,eb,ge,cx,"Generates dirt, gravel, coal ore, iron ore, gold ore, redstone ore and diamond ore in underground"
WorldGenPumpkin,qv,sa,km,mm,*
WorldGenReed,gh,gu,je,et,*
WorldGenTaiga1,lk,mg,cl,ig,*
WorldGenTaiga2,qr,rv,ke,mh,*
WorldGenTrees,rz,tf,lq,nh,Grows normal trees
WorldInfo,*,dc,*,cb,*
WorldIso,oq,*,*,*,Derived world class for Isometric preview applet
WorldManager,*,*,fz,cs,*
WorldProvider,qx,sd,ko,mn,*
WorldProviderHell,qi,rl,jp,lx,*
WorldRenderer,cg,ck,*,*,*
WorldServer,*,*,gc,cv,Server world manager
